date,Census
5/15/2020,42
5/16/2020,45
5/17/2020,49
5/18/2020,54
5/19/2020,60
5/20/2020,62
5/21/2020,59
5/22/2020,61
5/23/2020,70
5/24/2020,77
5/25/2020,84
5/26/2020,84
5/27/2020,79
5/28/2020,86
5/29/2020,81
5/30/2020,79
5/31/2020,85
6/1/2020,90
6/2/2020,85
6/3/2020,78
6/4/2020,84
6/5/2020,88
6/6/2020,94
6/7/2020,101
6/8/2020,92
6/9/2020,89
6/10/2020,99
6/11/2020,107
6/12/2020,113
6/13/2020,121
6/14/2020,126
6/15/2020,118
6/16/2020,118
6/17/2020,115
6/18/2020,122
6/19/2020,135
6/20/2020,130
6/21/2020,135
6/22/2020,146
6/23/2020,149
6/24/2020,146
6/25/2020,153
6/26/2020,145
6/27/2020,156
6/28/2020,152
6/29/2020,157
6/30/2020,155
7/1/2020,177
7/2/2020,178
7/3/2020,188
7/4/2020,201
7/5/2020,187
7/6/2020,182
7/7/2020,177
7/8/2020,205
7/9/2020,240
7/10/2020,224
7/11/2020,215
7/12/2020,215
7/13/2020,215
7/14/2020,218
7/15/2020,224
7/16/2020,235
7/17/2020,225
7/18/2020,230
7/19/2020,230
7/20/2020,240
7/21/2020,232
7/22/2020,220
7/23/2020,222
7/24/2020,228
7/25/2020,245
7/26/2020,245
7/27/2020,241
7/28/2020,256
7/29/2020,239
7/30/2020,227
7/31/2020,234
8/1/2020,232
8/2/2020,224
8/3/2020,243
8/4/2020,255
8/5/2020,237
8/6/2020,231
8/7/2020,220
8/8/2020,236
8/9/2020,228
8/10/2020,221
8/11/2020,220
8/12/2020,211
8/13/2020,203
8/14/2020,196
8/15/2020,201
8/16/2020,214
8/17/2020,232
8/18/2020,220
8/19/2020,197
8/20/2020,209
8/21/2020,198
8/22/2020,200
8/23/2020,203
8/24/2020,207
8/25/2020,199
8/26/2020,187
8/27/2020,192
8/28/2020,186
8/29/2020,180
8/30/2020,184
8/31/2020,185
9/1/2020,203
9/2/2020,195
9/3/2020,175
9/4/2020,184
9/5/2020,191
9/6/2020,184
9/7/2020,181
9/8/2020,193
9/9/2020,192
9/10/2020,167
9/11/2020,160
9/12/2020,159
9/13/2020,167
9/14/2020,161
9/15/2020,173
9/16/2020,169
9/17/2020,160
9/18/2020,158
9/19/2020,136
9/20/2020,124
9/21/2020,133
9/22/2020,144
9/23/2020,137
9/24/2020,127
9/25/2020,124
9/26/2020,133
9/27/2020,120
9/28/2020,150
9/29/2020,145
9/30/2020,138
10/1/2020,148
10/2/2020,146
10/3/2020,149
10/4/2020,144
10/5/2020,151
10/6/2020,158
10/7/2020,172
10/8/2020,167
10/9/2020,157
10/10/2020,148
10/11/2020,157
10/12/2020,170
10/13/2020,173
10/14/2020,188
10/15/2020,181
10/16/2020,185
10/17/2020,190
10/18/2020,190
10/19/2020,199
10/20/2020,206
10/21/2020,211
10/22/2020,211
10/23/2020,192
10/24/2020,198
10/25/2020,183
10/26/2020,200
10/27/2020,203
10/28/2020,201
10/29/2020,206
10/30/2020,188
10/31/2020,184
11/1/2020,188
11/2/2020,203
11/3/2020,206
11/4/2020,203
11/5/2020,207
11/6/2020,219
11/7/2020,220
11/8/2020,206
11/9/2020,223
11/10/2020,222
11/11/2020,225
11/12/2020,216
11/13/2020,222
11/14/2020,207
11/15/2020,200
11/16/2020,211
11/17/2020,237
11/18/2020,233
11/19/2020,235
11/20/2020,245
11/21/2020,249
11/22/2020,247
11/23/2020,280
11/24/2020,271
11/25/2020,273
11/26/2020,276
11/27/2020,278
11/28/2020,284
11/29/2020,300
11/30/2020,317
12/1/2020,328
12/2/2020,321
12/3/2020,327
12/4/2020,333
12/5/2020,329
12/6/2020,336
12/7/2020,347
12/8/2020,353
12/9/2020,348
12/10/2020,345
12/11/2020,362
12/12/2020,344
12/13/2020,367
12/14/2020,401
12/15/2020,418
12/16/2020,443
12/17/2020,432
12/18/2020,449
12/19/2020,443
12/20/2020,461
12/21/2020,491
12/22/2020,498
12/23/2020,522
12/24/2020,531
12/25/2020,522
12/26/2020,511
12/27/2020,505
12/28/2020,531
12/29/2020,553
12/30/2020,569
12/31/2020,556
1/1/2021,556
1/2/2021,555
1/3/2021,596
1/4/2021,608
1/5/2021,641
1/6/2021,654
1/7/2021,656
1/8/2021,653
1/9/2021,640
